Place Name	Latitude	 Longitude

Wisconsin	44.500000	-89.500000
West Virginia	39.000000	-80.500000
Vermont		44.000000	-72.699997
Texas		31.000000	-100.00000
South Dakota	44.500000	-100.00000
Rhode Island	41.742325	-71.742332
Oregon		44.000000	-120.50000
New York	43.000000	-75.000000
New Hampshire	44.000000	-71.500000
Nebraska	41.500000	-100.00000

END
